,maintanance_job_code,eo_code,eo_description,eo_main_description,level_1,level_upper,avearage_day_operation_hours,level_1_description
53,100000084398_32,100000084398,Самосвал карьерный 730E-8 №15,Самосвал карьерный 730E-8 №15,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
54,100000084398_33,100000084398,Самосвал карьерный 730E-8 №15,Самосвал карьерный 730E-8 №15,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
55,100000084398_34,100000084398,Самосвал карьерный 730E-8 №15,Самосвал карьерный 730E-8 №15,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
56,100000084398_35,100000084398,Самосвал карьерный 730E-8 №15,Самосвал карьерный 730E-8 №15,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
57,100000084399_17,100000084399,Самосвал карьерный 730E-8 №16,Самосвал карьерный 730E-8 №16,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
58,100000084399_18,100000084399,Самосвал карьерный 730E-8 №16,Самосвал карьерный 730E-8 №16,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
59,100000084399_19,100000084399,Самосвал карьерный 730E-8 №16,Самосвал карьерный 730E-8 №16,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
60,100000084399_20,100000084399,Самосвал карьерный 730E-8 №16,Самосвал карьерный 730E-8 №16,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
61,100000084399_21,100000084399,Самосвал карьерный 730E-8 №16,Самосвал карьерный 730E-8 №16,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
62,100000084399_22,100000084399,Самосвал карьерный 730E-8 №16,Самосвал карьерный 730E-8 №16,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
63,100000084399_23,100000084399,Самосвал карьерный 730E-8 №16,Самосвал карьерный 730E-8 №16,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
64,100000084399_24,100000084399,Самосвал карьерный 730E-8 №16,Самосвал карьерный 730E-8 №16,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
65,100000084399_25,100000084399,Самосвал карьерный 730E-8 №16,Самосвал карьерный 730E-8 №16,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
66,100000084399_26,100000084399,Самосвал карьерный 730E-8 №16,Самосвал карьерный 730E-8 №16,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
67,100000084399_27,100000084399,Самосвал карьерный 730E-8 №16,Самосвал карьерный 730E-8 №16,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
68,100000084399_28,100000084399,Самосвал карьерный 730E-8 №16,Самосвал карьерный 730E-8 №16,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
69,100000084399_29,100000084399,Самосвал карьерный 730E-8 №16,Самосвал карьерный 730E-8 №16,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
70,100000084399_30,100000084399,Самосвал карьерный 730E-8 №16,Самосвал карьерный 730E-8 №16,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
71,100000084399_31,100000084399,Самосвал карьерный 730E-8 №16,Самосвал карьерный 730E-8 №16,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
72,100000084399_32,100000084399,Самосвал карьерный 730E-8 №16,Самосвал карьерный 730E-8 №16,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
73,100000084399_33,100000084399,Самосвал карьерный 730E-8 №16,Самосвал карьерный 730E-8 №16,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
