eo_maintanance_job_code,eo_code,eo_description,maintanance_name,interval_motohours,"dowtime_plan, hours",avearage_day_operation_hours,last_maintanance_date
100000084399_730E-8_ТО4-1500,100000084399,Самосвал карьерный 730E-8 №16,ТО4-1500,1500,13,23.5,
100000084399_730E-8_ТО5-2000,100000084399,Самосвал карьерный 730E-8 №16,ТО5-2000,2000,14,23.5,
100000084399_730E-8_ТО6-2500,100000084399,Самосвал карьерный 730E-8 №16,ТО6-2500,2500,19,23.5,
100000084399_730E-8_ТО7-4000,100000084399,Самосвал карьерный 730E-8 №16,ТО7-4000,4000,"19,5",23.5,
100000084399_730E-8_ТО8-5000,100000084399,Самосвал карьерный 730E-8 №16,ТО8-5000,5000,20,23.5,
100000084399_730E-8_ТО9-8000,100000084399,Самосвал карьерный 730E-8 №16,ТО9-8000,8000,23,23.5,
100000084399_730E-8_ТО10-10000,100000084399,Самосвал карьерный 730E-8 №16,ТО10-10000,10000,24,23.5,
100000084399_730E-8_ТР,100000084399,Самосвал карьерный 730E-8 №16,ТР,660,50,23.5,
100000084399_730E-8_Кдвс (Замена),100000084399,Самосвал карьерный 730E-8 №16,Кдвс (Замена),22000,168,23.5,
100000084399_730E-8_Кген(Замена),100000084399,Самосвал карьерный 730E-8 №16,Кген(Замена),19000,120,23.5,
100000084399_730E-8_Кмк (Замена),100000084399,Самосвал карьерный 730E-8 №16,Кмк (Замена),22000,96,23.5,
100000084399_730E-8_ТРмо (Замена),100000084399,Самосвал карьерный 730E-8 №16,ТРмо (Замена),16000,24,23.5,
100000084399_730E-8_ТР Подвески,100000084399,Самосвал карьерный 730E-8 №16,ТР Подвески,1800,144,23.5,
100000084399_730E-8_СВч (частичная футеровка),100000084399,Самосвал карьерный 730E-8 №16,СВч (частичная футеровка),2000,24,23.5,
100000084399_730E-8_СВп (полная футеровка),100000084399,Самосвал карьерный 730E-8 №16,СВп (полная футеровка),10000,36,23.5,
100000084402_730E-8_EO,100000084402,Самосвал карьерный 730E-8 №19,ЕТО,24,"0,3",23.5,
100000084402_730E-8_ТО1-250,100000084402,Самосвал карьерный 730E-8 №19,ТО1-250,250,"1,2",23.5,
100000084402_730E-8_ТО2-500,100000084402,Самосвал карьерный 730E-8 №19,ТО2-500,500,11,23.5,
100000084402_730E-8_ТО3-1000,100000084402,Самосвал карьерный 730E-8 №19,ТО3-1000,1000,12,23.5,
100000084402_730E-8_ТО4-1500,100000084402,Самосвал карьерный 730E-8 №19,ТО4-1500,1500,13,23.5,
100000084402_730E-8_ТО5-2000,100000084402,Самосвал карьерный 730E-8 №19,ТО5-2000,2000,14,23.5,
100000084402_730E-8_ТО6-2500,100000084402,Самосвал карьерный 730E-8 №19,ТО6-2500,2500,19,23.5,
100000084402_730E-8_ТО7-4000,100000084402,Самосвал карьерный 730E-8 №19,ТО7-4000,4000,"19,5",23.5,
100000084402_730E-8_ТО8-5000,100000084402,Самосвал карьерный 730E-8 №19,ТО8-5000,5000,20,23.5,
100000084402_730E-8_ТО9-8000,100000084402,Самосвал карьерный 730E-8 №19,ТО9-8000,8000,23,23.5,
100000084402_730E-8_ТО10-10000,100000084402,Самосвал карьерный 730E-8 №19,ТО10-10000,10000,24,23.5,
100000084402_730E-8_ТР,100000084402,Самосвал карьерный 730E-8 №19,ТР,660,50,23.5,
100000084402_730E-8_Кдвс (Замена),100000084402,Самосвал карьерный 730E-8 №19,Кдвс (Замена),22000,168,23.5,
100000084402_730E-8_Кген(Замена),100000084402,Самосвал карьерный 730E-8 №19,Кген(Замена),19000,120,23.5,
100000084402_730E-8_Кмк (Замена),100000084402,Самосвал карьерный 730E-8 №19,Кмк (Замена),22000,96,23.5,
100000084402_730E-8_ТРмо (Замена),100000084402,Самосвал карьерный 730E-8 №19,ТРмо (Замена),16000,24,23.5,
100000084402_730E-8_ТР Подвески,100000084402,Самосвал карьерный 730E-8 №19,ТР Подвески,1800,144,23.5,
100000084402_730E-8_СВч (частичная футеровка),100000084402,Самосвал карьерный 730E-8 №19,СВч (частичная футеровка),2000,24,23.5,
100000084402_730E-8_СВп (полная футеровка),100000084402,Самосвал карьерный 730E-8 №19,СВп (полная футеровка),10000,36,23.5,
100000084403_730E-8_EO,100000084403,Самосвал карьерный 730E-8 №20,ЕТО,24,"0,3",23.5,
100000084403_730E-8_ТО1-250,100000084403,Самосвал карьерный 730E-8 №20,ТО1-250,250,"1,2",23.5,
100000084403_730E-8_ТО2-500,100000084403,Самосвал карьерный 730E-8 №20,ТО2-500,500,11,23.5,
100000084403_730E-8_ТО3-1000,100000084403,Самосвал карьерный 730E-8 №20,ТО3-1000,1000,12,23.5,
100000084403_730E-8_ТО4-1500,100000084403,Самосвал карьерный 730E-8 №20,ТО4-1500,1500,13,23.5,
100000084403_730E-8_ТО5-2000,100000084403,Самосвал карьерный 730E-8 №20,ТО5-2000,2000,14,23.5,
100000084403_730E-8_ТО6-2500,100000084403,Самосвал карьерный 730E-8 №20,ТО6-2500,2500,19,23.5,
100000084403_730E-8_ТО7-4000,100000084403,Самосвал карьерный 730E-8 №20,ТО7-4000,4000,"19,5",23.5,
100000084403_730E-8_ТО8-5000,100000084403,Самосвал карьерный 730E-8 №20,ТО8-5000,5000,20,23.5,
100000084403_730E-8_ТО9-8000,100000084403,Самосвал карьерный 730E-8 №20,ТО9-8000,8000,23,23.5,
100000084403_730E-8_ТО10-10000,100000084403,Самосвал карьерный 730E-8 №20,ТО10-10000,10000,24,23.5,
100000084403_730E-8_ТР,100000084403,Самосвал карьерный 730E-8 №20,ТР,660,50,23.5,
100000084403_730E-8_Кдвс (Замена),100000084403,Самосвал карьерный 730E-8 №20,Кдвс (Замена),22000,168,23.5,
100000084403_730E-8_Кген(Замена),100000084403,Самосвал карьерный 730E-8 №20,Кген(Замена),19000,120,23.5,
100000084403_730E-8_Кмк (Замена),100000084403,Самосвал карьерный 730E-8 №20,Кмк (Замена),22000,96,23.5,
100000084403_730E-8_ТРмо (Замена),100000084403,Самосвал карьерный 730E-8 №20,ТРмо (Замена),16000,24,23.5,
100000084403_730E-8_ТР Подвески,100000084403,Самосвал карьерный 730E-8 №20,ТР Подвески,1800,144,23.5,
100000084403_730E-8_СВч (частичная футеровка),100000084403,Самосвал карьерный 730E-8 №20,СВч (частичная футеровка),2000,24,23.5,
100000084403_730E-8_СВп (полная футеровка),100000084403,Самосвал карьерный 730E-8 №20,СВп (полная футеровка),10000,36,23.5,
100000084400_730E-8_EO,100000084400,Самосвал карьерный 730E-8 №17,ЕТО,24,"0,3",23.5,
100000084400_730E-8_ТО1-250,100000084400,Самосвал карьерный 730E-8 №17,ТО1-250,250,"1,2",23.5,
100000084400_730E-8_ТО2-500,100000084400,Самосвал карьерный 730E-8 №17,ТО2-500,500,11,23.5,
100000084400_730E-8_ТО3-1000,100000084400,Самосвал карьерный 730E-8 №17,ТО3-1000,1000,12,23.5,
100000084400_730E-8_ТО4-1500,100000084400,Самосвал карьерный 730E-8 №17,ТО4-1500,1500,13,23.5,
100000084400_730E-8_ТО5-2000,100000084400,Самосвал карьерный 730E-8 №17,ТО5-2000,2000,14,23.5,
100000084400_730E-8_ТО6-2500,100000084400,Самосвал карьерный 730E-8 №17,ТО6-2500,2500,19,23.5,
100000084400_730E-8_ТО7-4000,100000084400,Самосвал карьерный 730E-8 №17,ТО7-4000,4000,"19,5",23.5,
100000084400_730E-8_ТО8-5000,100000084400,Самосвал карьерный 730E-8 №17,ТО8-5000,5000,20,23.5,
100000084400_730E-8_ТО9-8000,100000084400,Самосвал карьерный 730E-8 №17,ТО9-8000,8000,23,23.5,
100000084400_730E-8_ТО10-10000,100000084400,Самосвал карьерный 730E-8 №17,ТО10-10000,10000,24,23.5,
100000084400_730E-8_ТР,100000084400,Самосвал карьерный 730E-8 №17,ТР,660,50,23.5,
100000084400_730E-8_Кдвс (Замена),100000084400,Самосвал карьерный 730E-8 №17,Кдвс (Замена),22000,168,23.5,
100000084400_730E-8_Кген(Замена),100000084400,Самосвал карьерный 730E-8 №17,Кген(Замена),19000,120,23.5,
100000084400_730E-8_Кмк (Замена),100000084400,Самосвал карьерный 730E-8 №17,Кмк (Замена),22000,96,23.5,
100000084400_730E-8_ТРмо (Замена),100000084400,Самосвал карьерный 730E-8 №17,ТРмо (Замена),16000,24,23.5,
100000084400_730E-8_ТР Подвески,100000084400,Самосвал карьерный 730E-8 №17,ТР Подвески,1800,144,23.5,
100000084400_730E-8_СВч (частичная футеровка),100000084400,Самосвал карьерный 730E-8 №17,СВч (частичная футеровка),2000,24,23.5,
100000084400_730E-8_СВп (полная футеровка),100000084400,Самосвал карьерный 730E-8 №17,СВп (полная футеровка),10000,36,23.5,
100000084401_730E-8_EO,100000084401,Самосвал карьерный 730E-8 №18,ЕТО,24,"0,3",23.5,
100000084401_730E-8_ТО1-250,100000084401,Самосвал карьерный 730E-8 №18,ТО1-250,250,"1,2",23.5,
100000084401_730E-8_ТО2-500,100000084401,Самосвал карьерный 730E-8 №18,ТО2-500,500,11,23.5,
100000084401_730E-8_ТО3-1000,100000084401,Самосвал карьерный 730E-8 №18,ТО3-1000,1000,12,23.5,
100000084401_730E-8_ТО4-1500,100000084401,Самосвал карьерный 730E-8 №18,ТО4-1500,1500,13,23.5,
100000084401_730E-8_ТО5-2000,100000084401,Самосвал карьерный 730E-8 №18,ТО5-2000,2000,14,23.5,
100000084401_730E-8_ТО6-2500,100000084401,Самосвал карьерный 730E-8 №18,ТО6-2500,2500,19,23.5,
100000084401_730E-8_ТО7-4000,100000084401,Самосвал карьерный 730E-8 №18,ТО7-4000,4000,"19,5",23.5,
100000084401_730E-8_ТО8-5000,100000084401,Самосвал карьерный 730E-8 №18,ТО8-5000,5000,20,23.5,
100000084401_730E-8_ТО9-8000,100000084401,Самосвал карьерный 730E-8 №18,ТО9-8000,8000,23,23.5,
100000084401_730E-8_ТО10-10000,100000084401,Самосвал карьерный 730E-8 №18,ТО10-10000,10000,24,23.5,
100000084401_730E-8_ТР,100000084401,Самосвал карьерный 730E-8 №18,ТР,660,50,23.5,
100000084401_730E-8_Кдвс (Замена),100000084401,Самосвал карьерный 730E-8 №18,Кдвс (Замена),22000,168,23.5,
100000084401_730E-8_Кген(Замена),100000084401,Самосвал карьерный 730E-8 №18,Кген(Замена),19000,120,23.5,
100000084401_730E-8_Кмк (Замена),100000084401,Самосвал карьерный 730E-8 №18,Кмк (Замена),22000,96,23.5,
100000084401_730E-8_ТРмо (Замена),100000084401,Самосвал карьерный 730E-8 №18,ТРмо (Замена),16000,24,23.5,
100000084401_730E-8_ТР Подвески,100000084401,Самосвал карьерный 730E-8 №18,ТР Подвески,1800,144,23.5,
100000084401_730E-8_СВч (частичная футеровка),100000084401,Самосвал карьерный 730E-8 №18,СВч (частичная футеровка),2000,24,23.5,
100000084401_730E-8_СВп (полная футеровка),100000084401,Самосвал карьерный 730E-8 №18,СВп (полная футеровка),10000,36,23.5,
100000094681_730E-8_EO,100000094681,Мотор-колесо левое WX1711R003,ЕТО,24,"0,3",23.5,
100000094681_730E-8_ТО1-250,100000094681,Мотор-колесо левое WX1711R003,ТО1-250,250,"1,2",23.5,
100000094681_730E-8_ТО2-500,100000094681,Мотор-колесо левое WX1711R003,ТО2-500,500,11,23.5,
100000094681_730E-8_ТО3-1000,100000094681,Мотор-колесо левое WX1711R003,ТО3-1000,1000,12,23.5,
100000094681_730E-8_ТО4-1500,100000094681,Мотор-колесо левое WX1711R003,ТО4-1500,1500,13,23.5,
100000094681_730E-8_ТО5-2000,100000094681,Мотор-колесо левое WX1711R003,ТО5-2000,2000,14,23.5,
100000094681_730E-8_ТО6-2500,100000094681,Мотор-колесо левое WX1711R003,ТО6-2500,2500,19,23.5,
100000094681_730E-8_ТО7-4000,100000094681,Мотор-колесо левое WX1711R003,ТО7-4000,4000,"19,5",23.5,
100000094681_730E-8_ТО8-5000,100000094681,Мотор-колесо левое WX1711R003,ТО8-5000,5000,20,23.5,
100000094681_730E-8_ТО9-8000,100000094681,Мотор-колесо левое WX1711R003,ТО9-8000,8000,23,23.5,
100000094681_730E-8_ТО10-10000,100000094681,Мотор-колесо левое WX1711R003,ТО10-10000,10000,24,23.5,
100000094681_730E-8_ТР,100000094681,Мотор-колесо левое WX1711R003,ТР,660,50,23.5,
100000094681_730E-8_Кдвс (Замена),100000094681,Мотор-колесо левое WX1711R003,Кдвс (Замена),22000,168,23.5,
100000094681_730E-8_Кген(Замена),100000094681,Мотор-колесо левое WX1711R003,Кген(Замена),19000,120,23.5,
100000094681_730E-8_Кмк (Замена),100000094681,Мотор-колесо левое WX1711R003,Кмк (Замена),22000,96,23.5,
100000094681_730E-8_ТРмо (Замена),100000094681,Мотор-колесо левое WX1711R003,ТРмо (Замена),16000,24,23.5,
100000094681_730E-8_ТР Подвески,100000094681,Мотор-колесо левое WX1711R003,ТР Подвески,1800,144,23.5,
100000094681_730E-8_СВч (частичная футеровка),100000094681,Мотор-колесо левое WX1711R003,СВч (частичная футеровка),2000,24,23.5,
100000094681_730E-8_СВп (полная футеровка),100000094681,Мотор-колесо левое WX1711R003,СВп (полная футеровка),10000,36,23.5,
100000094682_730E-8_EO,100000094682,Мотор-колесо левое WX1712R011,ЕТО,24,"0,3",23.5,
100000094682_730E-8_ТО1-250,100000094682,Мотор-колесо левое WX1712R011,ТО1-250,250,"1,2",23.5,
100000094682_730E-8_ТО2-500,100000094682,Мотор-колесо левое WX1712R011,ТО2-500,500,11,23.5,
100000094682_730E-8_ТО3-1000,100000094682,Мотор-колесо левое WX1712R011,ТО3-1000,1000,12,23.5,
100000094682_730E-8_ТО4-1500,100000094682,Мотор-колесо левое WX1712R011,ТО4-1500,1500,13,23.5,
100000094682_730E-8_ТО5-2000,100000094682,Мотор-колесо левое WX1712R011,ТО5-2000,2000,14,23.5,
100000094682_730E-8_ТО6-2500,100000094682,Мотор-колесо левое WX1712R011,ТО6-2500,2500,19,23.5,
100000094682_730E-8_ТО7-4000,100000094682,Мотор-колесо левое WX1712R011,ТО7-4000,4000,"19,5",23.5,
100000094682_730E-8_ТО8-5000,100000094682,Мотор-колесо левое WX1712R011,ТО8-5000,5000,20,23.5,
100000094682_730E-8_ТО9-8000,100000094682,Мотор-колесо левое WX1712R011,ТО9-8000,8000,23,23.5,
100000094682_730E-8_ТО10-10000,100000094682,Мотор-колесо левое WX1712R011,ТО10-10000,10000,24,23.5,
100000094682_730E-8_ТР,100000094682,Мотор-колесо левое WX1712R011,ТР,660,50,23.5,
100000094682_730E-8_Кдвс (Замена),100000094682,Мотор-колесо левое WX1712R011,Кдвс (Замена),22000,168,23.5,
100000094682_730E-8_Кген(Замена),100000094682,Мотор-колесо левое WX1712R011,Кген(Замена),19000,120,23.5,
100000094682_730E-8_Кмк (Замена),100000094682,Мотор-колесо левое WX1712R011,Кмк (Замена),22000,96,23.5,
100000094682_730E-8_ТРмо (Замена),100000094682,Мотор-колесо левое WX1712R011,ТРмо (Замена),16000,24,23.5,
100000094682_730E-8_ТР Подвески,100000094682,Мотор-колесо левое WX1712R011,ТР Подвески,1800,144,23.5,
100000094682_730E-8_СВч (частичная футеровка),100000094682,Мотор-колесо левое WX1712R011,СВч (частичная футеровка),2000,24,23.5,
100000094682_730E-8_СВп (полная футеровка),100000094682,Мотор-колесо левое WX1712R011,СВп (полная футеровка),10000,36,23.5,
100000084404_730E-8_EO,100000084404,Самосвал карьерный 730E-8 №21,ЕТО,24,"0,3",23.5,
100000084404_730E-8_ТО1-250,100000084404,Самосвал карьерный 730E-8 №21,ТО1-250,250,"1,2",23.5,
100000084404_730E-8_ТО2-500,100000084404,Самосвал карьерный 730E-8 №21,ТО2-500,500,11,23.5,
100000084404_730E-8_ТО3-1000,100000084404,Самосвал карьерный 730E-8 №21,ТО3-1000,1000,12,23.5,
100000084404_730E-8_ТО4-1500,100000084404,Самосвал карьерный 730E-8 №21,ТО4-1500,1500,13,23.5,
100000084404_730E-8_ТО5-2000,100000084404,Самосвал карьерный 730E-8 №21,ТО5-2000,2000,14,23.5,
100000084404_730E-8_ТО6-2500,100000084404,Самосвал карьерный 730E-8 №21,ТО6-2500,2500,19,23.5,
100000084404_730E-8_ТО7-4000,100000084404,Самосвал карьерный 730E-8 №21,ТО7-4000,4000,"19,5",23.5,
100000084404_730E-8_ТО8-5000,100000084404,Самосвал карьерный 730E-8 №21,ТО8-5000,5000,20,23.5,
100000084404_730E-8_ТО9-8000,100000084404,Самосвал карьерный 730E-8 №21,ТО9-8000,8000,23,23.5,
100000084404_730E-8_ТО10-10000,100000084404,Самосвал карьерный 730E-8 №21,ТО10-10000,10000,24,23.5,
100000084404_730E-8_ТР,100000084404,Самосвал карьерный 730E-8 №21,ТР,660,50,23.5,
100000084404_730E-8_Кдвс (Замена),100000084404,Самосвал карьерный 730E-8 №21,Кдвс (Замена),22000,168,23.5,
100000084404_730E-8_Кген(Замена),100000084404,Самосвал карьерный 730E-8 №21,Кген(Замена),19000,120,23.5,
100000084404_730E-8_Кмк (Замена),100000084404,Самосвал карьерный 730E-8 №21,Кмк (Замена),22000,96,23.5,
100000084404_730E-8_ТРмо (Замена),100000084404,Самосвал карьерный 730E-8 №21,ТРмо (Замена),16000,24,23.5,
100000084404_730E-8_ТР Подвески,100000084404,Самосвал карьерный 730E-8 №21,ТР Подвески,1800,144,23.5,
100000084404_730E-8_СВч (частичная футеровка),100000084404,Самосвал карьерный 730E-8 №21,СВч (частичная футеровка),2000,24,23.5,
100000084404_730E-8_СВп (полная футеровка),100000084404,Самосвал карьерный 730E-8 №21,СВп (полная футеровка),10000,36,23.5,
100000094684_730E-8_EO,100000094684,Мотор-колесо правое WX1508R014,ЕТО,24,"0,3",23.5,
100000094684_730E-8_ТО1-250,100000094684,Мотор-колесо правое WX1508R014,ТО1-250,250,"1,2",23.5,
100000094684_730E-8_ТО2-500,100000094684,Мотор-колесо правое WX1508R014,ТО2-500,500,11,23.5,
100000094684_730E-8_ТО3-1000,100000094684,Мотор-колесо правое WX1508R014,ТО3-1000,1000,12,23.5,
100000094684_730E-8_ТО4-1500,100000094684,Мотор-колесо правое WX1508R014,ТО4-1500,1500,13,23.5,
100000094684_730E-8_ТО5-2000,100000094684,Мотор-колесо правое WX1508R014,ТО5-2000,2000,14,23.5,
100000094684_730E-8_ТО6-2500,100000094684,Мотор-колесо правое WX1508R014,ТО6-2500,2500,19,23.5,
100000094684_730E-8_ТО7-4000,100000094684,Мотор-колесо правое WX1508R014,ТО7-4000,4000,"19,5",23.5,
100000094684_730E-8_ТО8-5000,100000094684,Мотор-колесо правое WX1508R014,ТО8-5000,5000,20,23.5,
100000094684_730E-8_ТО9-8000,100000094684,Мотор-колесо правое WX1508R014,ТО9-8000,8000,23,23.5,
100000094684_730E-8_ТО10-10000,100000094684,Мотор-колесо правое WX1508R014,ТО10-10000,10000,24,23.5,
100000094684_730E-8_ТР,100000094684,Мотор-колесо правое WX1508R014,ТР,660,50,23.5,
100000094684_730E-8_Кдвс (Замена),100000094684,Мотор-колесо правое WX1508R014,Кдвс (Замена),22000,168,23.5,
100000094684_730E-8_Кген(Замена),100000094684,Мотор-колесо правое WX1508R014,Кген(Замена),19000,120,23.5,
100000094684_730E-8_Кмк (Замена),100000094684,Мотор-колесо правое WX1508R014,Кмк (Замена),22000,96,23.5,
100000094684_730E-8_ТРмо (Замена),100000094684,Мотор-колесо правое WX1508R014,ТРмо (Замена),16000,24,23.5,
100000094684_730E-8_ТР Подвески,100000094684,Мотор-колесо правое WX1508R014,ТР Подвески,1800,144,23.5,
100000094684_730E-8_СВч (частичная футеровка),100000094684,Мотор-колесо правое WX1508R014,СВч (частичная футеровка),2000,24,23.5,
100000094684_730E-8_СВп (полная футеровка),100000094684,Мотор-колесо правое WX1508R014,СВп (полная футеровка),10000,36,23.5,
100000093124_730E-8_EO,100000093124,ДВС QSK50 №33210861,ЕТО,24,"0,3",23.5,
100000093124_730E-8_ТО1-250,100000093124,ДВС QSK50 №33210861,ТО1-250,250,"1,2",23.5,
100000093124_730E-8_ТО2-500,100000093124,ДВС QSK50 №33210861,ТО2-500,500,11,23.5,
100000093124_730E-8_ТО3-1000,100000093124,ДВС QSK50 №33210861,ТО3-1000,1000,12,23.5,
100000093124_730E-8_ТО4-1500,100000093124,ДВС QSK50 №33210861,ТО4-1500,1500,13,23.5,
100000093124_730E-8_ТО5-2000,100000093124,ДВС QSK50 №33210861,ТО5-2000,2000,14,23.5,
