,Unnamed: 0,maintanance_job_code,eo_code,interval_motohours,"dowtime_plan, hours",maintanance_datetime,maintanance_date,maintanance_name,year,month,month_year
3284,3284,100000084385_HD1500-7_EO,100000084385,23.7,0.3,2025-12-30 00:00:00,2025-12-30,ЕТО,2025,12,12_2025
3285,3285,100000084385_HD1500-7_EO,100000084385,23.7,0.3,2025-12-31 00:00:00,2025-12-31,ЕТО,2025,12,12_2025
3421,3421,100000084385_HD1500-7_TO1,100000084385,250.0,1.0,2025-12-04 09:00:00,2025-12-04,ТО1-250,2025,12,12_2025
3422,3422,100000084385_HD1500-7_TO1,100000084385,250.0,1.0,2025-12-15 00:00:00,2025-12-15,ТО1-250,2025,12,12_2025
3423,3423,100000084385_HD1500-7_TO1,100000084385,250.0,1.0,2025-12-25 15:00:00,2025-12-25,ТО1-250,2025,12,12_2025
3492,3492,100000084385_HD1500-7_TO-2,100000084385,500.0,9.8,2025-12-16 10:00:00,2025-12-16,ТО2-500,2025,12,12_2025
3527,3527,100000084385_HD1500-7_TO-3,100000084385,1000.0,12.0,2025-12-16 10:00:00,2025-12-16,ТО3-1000,2025,12,12_2025
3545,3545,100000084385_HD1500-7_TO-4,100000084385,2000.0,16.0,2025-12-16 18:30:00,2025-12-16,ТО4-2000,2025,12,12_2025
3604,3604,100000084385_HD1500-7_TR,100000084385,660.0,60.0,2025-12-02 06:00:00,2025-12-02,ТР,2025,12,12_2025
3605,3605,100000084385_HD1500-7_TR,100000084385,660.0,60.0,2025-12-30 08:00:00,2025-12-30,ТР,2025,12,12_2025
3643,3643,100000084385_HD1500-7_LINING_PART,100000084385,2000.0,24.0,2025-12-16 18:30:00,2025-12-16,СВч (частичная футеровка),2025,12,12_2025
5079,5079,100000084386_HD1500-7_EO,100000084386,23.7,0.3,2025-12-01 00:00:00,2025-12-01,ЕТО,2025,12,12_2025
5080,5080,100000084386_HD1500-7_EO,100000084386,23.7,0.3,2025-12-02 00:00:00,2025-12-02,ЕТО,2025,12,12_2025
5081,5081,100000084386_HD1500-7_EO,100000084386,23.7,0.3,2025-12-03 00:00:00,2025-12-03,ЕТО,2025,12,12_2025
5082,5082,100000084386_HD1500-7_EO,100000084386,23.7,0.3,2025-12-04 00:00:00,2025-12-04,ЕТО,2025,12,12_2025
5083,5083,100000084386_HD1500-7_EO,100000084386,23.7,0.3,2025-12-05 00:00:00,2025-12-05,ЕТО,2025,12,12_2025
5084,5084,100000084386_HD1500-7_EO,100000084386,23.7,0.3,2025-12-06 00:00:00,2025-12-06,ЕТО,2025,12,12_2025
5085,5085,100000084386_HD1500-7_EO,100000084386,23.7,0.3,2025-12-07 00:00:00,2025-12-07,ЕТО,2025,12,12_2025
5086,5086,100000084386_HD1500-7_EO,100000084386,23.7,0.3,2025-12-08 00:00:00,2025-12-08,ЕТО,2025,12,12_2025
5087,5087,100000084386_HD1500-7_EO,100000084386,23.7,0.3,2025-12-09 00:00:00,2025-12-09,ЕТО,2025,12,12_2025
5088,5088,100000084386_HD1500-7_EO,100000084386,23.7,0.3,2025-12-10 00:00:00,2025-12-10,ЕТО,2025,12,12_2025
5089,5089,100000084386_HD1500-7_EO,100000084386,23.7,0.3,2025-12-11 00:00:00,2025-12-11,ЕТО,2025,12,12_2025
5090,5090,100000084386_HD1500-7_EO,100000084386,23.7,0.3,2025-12-12 00:00:00,2025-12-12,ЕТО,2025,12,12_2025
5091,5091,100000084386_HD1500-7_EO,100000084386,23.7,0.3,2025-12-13 00:00:00,2025-12-13,ЕТО,2025,12,12_2025
5092,5092,100000084386_HD1500-7_EO,100000084386,23.7,0.3,2025-12-14 00:00:00,2025-12-14,ЕТО,2025,12,12_2025
5093,5093,100000084386_HD1500-7_EO,100000084386,23.7,0.3,2025-12-15 00:00:00,2025-12-15,ЕТО,2025,12,12_2025
5094,5094,100000084386_HD1500-7_EO,100000084386,23.7,0.3,2025-12-16 00:00:00,2025-12-16,ЕТО,2025,12,12_2025
5095,5095,100000084386_HD1500-7_EO,100000084386,23.7,0.3,2025-12-17 00:00:00,2025-12-17,ЕТО,2025,12,12_2025
5096,5096,100000084386_HD1500-7_EO,100000084386,23.7,0.3,2025-12-18 00:00:00,2025-12-18,ЕТО,2025,12,12_2025
5097,5097,100000084386_HD1500-7_EO,100000084386,23.7,0.3,2025-12-19 00:00:00,2025-12-19,ЕТО,2025,12,12_2025
5098,5098,100000084386_HD1500-7_EO,100000084386,23.7,0.3,2025-12-20 00:00:00,2025-12-20,ЕТО,2025,12,12_2025
5099,5099,100000084386_HD1500-7_EO,100000084386,23.7,0.3,2025-12-21 00:00:00,2025-12-21,ЕТО,2025,12,12_2025
5100,5100,100000084386_HD1500-7_EO,100000084386,23.7,0.3,2025-12-22 00:00:00,2025-12-22,ЕТО,2025,12,12_2025
5101,5101,100000084386_HD1500-7_EO,100000084386,23.7,0.3,2025-12-23 00:00:00,2025-12-23,ЕТО,2025,12,12_2025
5102,5102,100000084386_HD1500-7_EO,100000084386,23.7,0.3,2025-12-24 00:00:00,2025-12-24,ЕТО,2025,12,12_2025
5103,5103,100000084386_HD1500-7_EO,100000084386,23.7,0.3,2025-12-25 00:00:00,2025-12-25,ЕТО,2025,12,12_2025
