,Дата,Категория работ,"Запланированный простой, час","Межсервисная наработка, час",Наименование ЕО
116,27.04.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
117,28.04.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
118,29.04.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
119,30.04.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
120,01.05.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
121,02.05.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
122,03.05.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
123,04.05.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
124,05.05.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
125,06.05.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
126,07.05.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
127,08.05.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
128,09.05.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
129,10.05.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
130,11.05.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
131,12.05.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
132,13.05.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
133,14.05.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
134,15.05.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
135,16.05.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
136,17.05.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
137,18.05.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
138,19.05.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
139,20.05.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
140,21.05.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
141,22.05.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
142,23.05.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
143,24.05.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
144,25.05.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
145,26.05.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
146,27.05.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
147,28.05.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
148,29.05.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
149,30.05.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
150,31.05.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
151,01.06.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
